tax_id	GeneID	GO_ID	Evidence	Qualifier	GO_termPubMed	Category
39947	3131407	GO:0009536	IC	-	plastid	12520024	Component
39947	3131407	GO:0016020	RCA	-	membrane	-	Component
39947	3131408	GO:0009536	IC	-	plastid	12520024	Component
39947	3131409	GO:0009536	IC	-	plastid	12520024	Component
39947	3131409	GO:0016020	RCA	-	membrane	-	Component
39947	3131410	GO:0009536	IC	-	plastid	12520024	Component
39947	3131410	GO:0016020	RCA	-	membrane	-	Component
39947	3131411	GO:0009536	IC	-	plastid	12520024	Component
39947	3131411	GO:0016020	RCA	-	membrane	-	Component
39947	3131412	GO:0009536	IC	-	plastid	12520024	Component
39947	3131412	GO:0016020	RCA	-	membrane	-	Component
39947	3131413	GO:0009536	IC	-	plastid	12520024	Component
39947	3131414	GO:0009536	IC	-	plastid	12520024	Component
39947	3131414	GO:0031410	RCA	-	cytoplasmic vesicle	-	Component
39947	3131415	GO:0009536	IC	-	plastid	12520024	Component
39947	3131416	GO:0009536	IC	-	plastid	12520024	Component
39947	3131416	GO:0031410	RCA	-	cytoplasmic vesicle	-	Component
39947	3131417	GO:0009536	IC	-	plastid	12520024	Component
39947	3131417	GO:0031410	RCA	-	cytoplasmic vesicle	-	Component
39947	3131418	GO:0009536	IC	-	plastid	12520024	Component
39947	3131419	GO:0009536	IC	-	plastid	12520024	Component
39947	3131419	GO:0031410	RCA	-	cytoplasmic vesicle	-	Component
39947	3131420	GO:0009536	IC	-	plastid	12520024	Component
39947	3131420	GO:0031410	RCA	-	cytoplasmic vesicle	-	Component
39947	3131422	GO:0009536	IC	-	plastid	12520024	Component
39947	3131423	GO:0005739	IC	-	mitochondrion	12520024	Component
39947	3131423	GO:0009536	IC	-	plastid	12520024	Component
39947	3131425	GO:0003723	RCA	-	RNA binding	-	Function
39947	3131425	GO:0003735	RCA	-	structural constituent of ribosome	-	Function
39947	3131425	GO:0005739	RCA	-	mitochondrion	-	Component
39947	3131425	GO:0005840	RCA	-	ribosome	-	Component
39947	3131425	GO:0006412	RCA	-	translation	-	Process
39947	3131425	GO:0009536	IC	-	plastid	12520024	Component
39947	3131425	GO:0009536	ISS	-	plastid	2770692	Component
39947	3131426	GO:0009536	IC	-	plastid	12520024	Component
39947	3131429	GO:0009536	IC	-	plastid	12520024	Component
39947	3131430	GO:0009536	IC	-	plastid	12520024	Component
39947	3131431	GO:0005739	RCA	-	mitochondrion	-	Component
39947	3131431	GO:0009536	IC	-	plastid	12520024	Component
39947	3131432	GO:0003677	RCA	-	DNA binding	-	Function
39947	3131432	GO:0003899	RCA	-	DNA-directed 5'-3' RNA polymerase activity	-	Function
39947	3131432	GO:0005739	IC	-	mitochondrion	12520024	Component
39947	3131432	GO:0005739	ISS	-	mitochondrion	8437578|8790296	Component
39947	3131432	GO:0006351	RCA	-	transcription, DNA-templated	-	Process
39947	3131432	GO:0009536	IC	-	plastid	12520024	Component
39947	3131433	GO:0009536	IC	-	plastid	12520024	Component
39947	3131434	GO:0009536	IC	-	plastid	12520024	Component
39947	3131435	GO:0003735	RCA	-	structural constituent of ribosome	-	Function
39947	3131435	GO:0005739	RCA	-	mitochondrion	-	Component
39947	3131435	GO:0005840	RCA	-	ribosome	-	Component
39947	3131435	GO:0006412	RCA	-	translation	-	Process
39947	3131435	GO:0009536	IC	-	plastid	12520024	Component
39947	3131436	GO:0003735	RCA	-	structural constituent of ribosome	-	Function
39947	3131436	GO:0005622	RCA	-	intracellular anatomical structure	-	Component
39947	3131436	GO:0005739	RCA	-	mitochondrion	-	Component
39947	3131436	GO:0005840	RCA	-	ribosome	-	Component
39947	3131436	GO:0006099	RCA	-	tricarboxylic acid cycle	-	Process
39947	3131436	GO:0006412	RCA	-	translation	-	Process
39947	3131436	GO:0009536	IC	-	plastid	12520024	Component
39947	3131436	GO:0016491	RCA	-	oxidoreductase activity	-	Function
39947	3131436	GO:0022900	RCA	-	electron transport chain	-	Process
39947	3131439	GO:0003735	RCA	-	structural constituent of ribosome	-	Function
39947	3131439	GO:0005739	RCA	-	mitochondrion	-	Component
39947	3131439	GO:0005840	RCA	-	ribosome	-	Component
39947	3131439	GO:0006412	RCA	-	translation	-	Process
39947	3131439	GO:0009536	IC	-	plastid	12520024	Component
39947	3131439	GO:0009536	ISS	-	plastid	2770692	Component
39947	3131440	GO:0009536	IC	-	plastid	12520024	Component
39947	3131441	GO:0003735	RCA	-	structural constituent of ribosome	-	Function
39947	3131441	GO:0005622	RCA	-	intracellular anatomical structure	-	Component
39947	3131441	GO:0005739	IC	-	mitochondrion	12520024	Component
39947	3131441	GO:0005739	ISS	-	mitochondrion	8806415	Component
39947	3131441	GO:0005763	IC	-	mitochondrial small ribosomal subunit	-	Component
39947	3131441	GO:0005840	RCA	-	ribosome	-	Component
39947	3131441	GO:0006412	RCA	-	translation	-	Process
39947	3131442	GO:0003735	IC	-	structural constituent of ribosome	-	Function
39947	3131442	GO:0005739	IC	-	mitochondrion	12520024	Component
39947	3131442	GO:0005739	ISS	-	mitochondrion	7545979|7788722	Component
39947	3131442	GO:0005763	IC	-	mitochondrial small ribosomal subunit	-	Component
39947	3131442	GO:0006412	IC	-	translation	-	Process
39947	3131442	GO:0009536	IC	-	plastid	12520024	Component
39947	3131443	GO:0005739	IC	-	mitochondrion	12520024	Component
39947	3131443	GO:0005763	IC	-	mitochondrial small ribosomal subunit	-	Component
39947	3131443	GO:0009536	IC	-	plastid	12520024	Component
39947	3131444	GO:0005739	IC	-	mitochondrion	12520024	Component
39947	3131444	GO:0005763	IC	-	mitochondrial small ribosomal subunit	-	Component
39947	3131445	GO:0005739	IC	-	mitochondrion	12520024	Component
39947	3131445	GO:0005763	IC	-	mitochondrial small ribosomal subunit	-	Component
39947	3131446	GO:0009536	IC	-	plastid	12520024	Component
39947	3131450	GO:0008380	RCA	-	RNA splicing	-	Process
39947	3131450	GO:0009536	IC	-	plastid	12520024	Component
39947	3131450	GO:0009536	ISS	-	plastid	2770692	Component
39947	3131450	GO:0031410	RCA	-	cytoplasmic vesicle	-	Component
39947	3131452	GO:0009536	IC	-	plastid	12520024	Component
39947	3131452	GO:0009536	ISS	-	plastid	2770692	Component
39947	3131452	GO:0031410	RCA	-	cytoplasmic vesicle	-	Component
39947	3131455	GO:0009536	IC	-	plastid	12520024	Component
39947	3131455	GO:0031410	RCA	-	cytoplasmic vesicle	-	Component
39947	3131456	GO:0009536	IC	-	plastid	12520024	Component
39947	3131456	GO:0009536	ISS	-	plastid	2770692	Component
39947	3131457	GO:0003723	RCA	-	RNA binding	-	Function
39947	3131457	GO:0003735	IC	-	structural constituent of ribosome	-	Function
39947	3131457	GO:0005739	IC	-	mitochondrion	12520024	Component
39947	3131457	GO:0005739	ISS	-	mitochondrion	9645425	Component
39947	3131457	GO:0005739	RCA	-	mitochondrion	-	Component
39947	3131457	GO:0005763	IC	-	mitochondrial small ribosomal subunit	-	Component
39947	3131457	GO:0006412	IC	-	translation	-	Process
39947	3131457	GO:0009536	IC	-	plastid	12520024	Component
39947	3131458	GO:0009536	IC	-	plastid	12520024	Component
39947	3131459	GO:0009536	IC	-	plastid	12520024	Component
39947	3131460	GO:0009536	IC	-	plastid	12520024	Component
39947	3131460	GO:0016020	RCA	-	membrane	-	Component
39947	3131460	GO:0031410	RCA	-	cytoplasmic vesicle	-	Component
